Documento	Id
A Biblioteconomia utiliza sistemas de classificação como CDD e CDU para organizar o conhecimento humano .	1
O bibliotecário atua como mediador essencial entre a informação registrada e o usuário final .	2
A preservação digital é um desafio contemporâneo para as bibliotecas universitárias e centros de documentação .	3
O Repositório Institucional da USP armazena e dissemina a produção científica de seus pesquisadores .	4
A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .	5
A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21 .	6
Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade .	7
A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .	8
O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .	9
Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .	10
A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .	11
Metadados são fundamentais para a descrição e organização de recursos em ambientes digitais .	12
A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .	13
O controle de autoridades garante a consistência dos nomes de autores nos catálogos bibliográficos .	14
A ciência da informação estuda as propriedades e o fluxo da informação na sociedade moderna .	15
Bibliotecas digitais permitem o acesso remoto a livros e documentos raros em alta resolução .	16
A conservação preventiva de obras raras envolve o controle de temperatura e umidade nos acervos .	17
O empréstimo entre bibliotecas amplia o acesso a materiais que não estão disponíveis localmente .	18
A curadoria digital envolve a seleção e manutenção de ativos digitais a longo prazo .	19
O código de ética profissional do bibliotecário orienta a conduta técnica e social da categoria .	20
A normalização documentária segue as diretrizes da ABNT para trabalhos acadêmicos no Brasil .	21
O bibliotecário de dados trabalha com a organização e preservação de conjuntos de dados de pesquisa .	22
As bibliotecas especializadas atendem a demandas de áreas específicas como medicina e direito .	23
A acessibilidade em bibliotecas garante que pessoas com deficiência tenham pleno acesso à informação .	24
O desenvolvimento de coleções deve considerar o perfil da comunidade atendida pela instituição .	25
O marketing em bibliotecas ajuda a promover os serviços e atrair novos tipos de usuários .	26
A bibliometria utiliza métodos estatísticos para analisar a produção científica e o impacto de citações .	27
O Tesauro é uma linguagem documental controlada que auxilia na representação temática de textos .	28
As bibliotecas comunitárias surgem como iniciativas de resistência cultural em periferias urbanas .	29
A competência em informação capacita o cidadão a avaliar criticamente as fontes de notícias .	30
