Sentença	Id	Index	Granularidade	Documento
A Biblioteconomia utiliza sistemas de classificação como CDD e CDU para organizar o conhecimento humano.	1	0	0	A Biblioteconomia utiliza sistemas de classificação como CDD e CDU para organizar o conhecimento humano .
0	1	-1	1	A Biblioteconomia utiliza sistemas de classificação como CDD e CDU para organizar o conhecimento humano .
O bibliotecário atua como mediador essencial entre a informação registrada e o usuário final.	2	0	0	O bibliotecário atua como mediador essencial entre a informação registrada e o usuário final .
1	2	-1	1	O bibliotecário atua como mediador essencial entre a informação registrada e o usuário final .
A preservação digital é um desafio contemporâneo para as bibliotecas universitárias e centros de documentação.	3	0	0	A preservação digital é um desafio contemporâneo para as bibliotecas universitárias e centros de documentação .
2	3	-1	1	A preservação digital é um desafio contemporâneo para as bibliotecas universitárias e centros de documentação .
O Repositório Institucional da USP armazena e dissemina a produção científica de seus pesquisadores.	4	0	0	O Repositório Institucional da USP armazena e dissemina a produção científica de seus pesquisadores .
3	4	-1	1	O Repositório Institucional da USP armazena e dissemina a produção científica de seus pesquisadores .
A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos.	5	0	0	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
4	5	-1	1	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21.	6	0	0	A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21 .
5	6	-1	1	A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21 .
Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade.	7	0	0	Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade .
6	7	-1	1	Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade .
A indexação de documentos facilita a recuperação da informação em bases de dados especializadas.	8	0	0	A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .
7	8	-1	1	A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .
